Column1,Column2
"By the way , Do you know wrapping seat method ?","By the way , do you know the wrapping seat method ?"
This seat is to wrap up a eat when you use a microwave oven .,This seat is to wrap up a meal when you use a microwave oven .
This method is to wrap up my body such as arm to get more sweaty .,This method is to wrap up my body such as arms to get more sweaty .
"I have charenged the method one time , but my weight is not change .","I have changed the method one time , but my weight did not change ."
My body is very stubborn .,My body is very stubborn .
No smoke,No smoke
I have given up smoking for two week because I want to get my health .,I have given up smoking for two weeks because I want to improve my health .
"Since I stopped smoking , my running pitch is very well more and more .","Since I stopped smoking , my running pitch is very well ."
I do n't feel to be tired .,I do n't feel to be tired .
my condition is very well !,My condition is very good !
"but , I must walk through the fire to stop smoking .","But , I must walk through the fire to stop smoking ."
This is drinking session .,This is a drinking session .
Drinking lure me to smoke .,Drinking causes me to smoke .
Never succeed unless my will is strong ! ! ! !,Never succeed unless my willpower is strong ! ! ! !
Fryday night !,Friday night !
Good evening ! !,Good evening !
It 's a Fryday night .,It 's a Friday night .
I am watching the TV with beer and snack !,I am watching the TV with beer and snacks !
This is a story to sound like a lie but funny .,This is a story that sounds like a lie but is funny .
"Today 's story is "" a bear cat walking with two legs ""","Today 's story is "" a bear cat walking with two legs """
It is up to you wether you believe or not !,It is up to you whether you believe or not !
for the first time,For the first time
I try to write my diary in English for the first time .,I am trying to write my diary in English for the first time .
two years ago I went Italy .,Two years ago I went to Italy .
Then I tryed to talk with Italian in English .,Then I tried to talk with Italians in English .
"They were not native speaker , but I could n't hear what they were talking about .","They were not native speakers , but I could n't hear what they were talking about ."
I want to talk to people all over the world in English !,I want to talk to people all over the world in English !
thank you .,thank you .
father 's day,father 's day
Today is father 's day for my family because we all can make it .,Today is father 's day for my family because we all can make it .
My wife and I give my father white polo - shirts that buy UNICRO .,My wife and I gave my father white polo - shirts that we bought at UNICRO .
"Then , we take a lunch thai curry restaurant .","Then , we had lunch at a Thai curry restaurant ."
"There is a variety of curry menu green , yellow , red and all .","There is a variety of curry on the menu ; green , yellow , red and all ."
"We like the exotic feel of it , too .","We like the exotic feel of it , too ."
I like the content of the conversation to my grandmather and father .,I like the content of the conversation between my grandmother and father .
They do n't talk about the same thing .,They do n't talk about the same thing .
I feel very funny .,I feel very funny .
We have a good time .,We have a good time .
At the beach !,At the beach !
I live in Okinawa where is very warm and beautiful oceans .,I live in Okinawa where it is very warm and there are beautiful oceans .
It 's hot today in spite of winter ！,It 's hot today in spite of winter !
I like to go out to see a beach .,I like to go out to see a beach .
"However , I do n't go for swimming , I like spend the time doing nothing","However , I do n't go swimming . I like to spend the time doing nothing ."
at the beach because I can forget various stressful things there .,at the beach because I can forget various stressful things there .
I 'm just going to beach today !,I 'm just going to the beach today !
my rock band !,my rock band !
Long time no update .,Long time no update .
Recently My rock band release the CD !,"Recently , my rock band released a CD !"
I have had a time to music activity to appear on rocal radio in Okinawa and,I have had a time to do music activity and to appear on local radio in Okinawa .
to perform a live and to be interviewed the rocal magazine .,to perform live and to be interviewed by the local magazine .
I have such   productive days .,I have such productive days .
I hope a lot of peaple to listen to my music .,I hope a lot of people listen to my music .
※for your information my music is English lyrics !,"※ for your information , my music has English lyrics !"
Having coffee,Having coffee
"Today , I went a cool cafe to have a coffee with my friends .","Today , I went to a cool cafe to have a coffee with my friends ."
"GENTEN 's means "" roots ” .","GENTEN means "" roots ” ."
I think that they say go back to basics to make coffee .,I think that they say go back to basics to make coffee .
When I and my friend entered in the cafe we were surprised its moods .,When my friend and I entered the cafe we were surprised at its decor .
There is not a music .,There is no music .
Look high - class .,Look high - class .
We were very fun .,We had great fun .
We felt very happy times .,We had very happy times .
My stage ! !,My stage ! !
Today as I get the photo that I played guitar in my rock band,Today I got the photo that I played guitar in my rock band
"named "" SOMETHING FOUR "" , I post .","named "" SOMETHING FOUR "" , I post ."
I wear the green jacket .,I wear the green jacket .
"A fantastic man standing next to me is famous "" wedding dancer "" in Okinawa .","The fantastic man standing next to me is a famous "" wedding dancer "" in Okinawa ."
His wedding dance is very cute and funny .,His wedding dance is very cute and funny .
"Today , It will be held music live !","Today , it will be held with live music !"
My band will appear on this stage .,My band will appear on this stage .
"Today 's events name is "" CLAP HANDS Returns "" that was very popular event in the","Today 's event name is "" CLAP HANDS Returns "" , which was a very popular event in the"
past in Okinawa .,past in Okinawa .
It is very glad for me to participate in this event ! !,It is very glad for me to participate in this event ! !
I will meet old familiar faces who is other band .,I will meet old familiar faces who are in other bands .
The band from Osaka name is KARUMERA will appear !,The band from Osaka whose name is KARUMERA will appear !
I think that it is an oppotunity to communicate other place band .,I think that it is an opportunity to communicate with other place bands .
This is going to be great ! !,It is going to be great ! !
Today 's photo is scene that I am gathering peoples energy ! !,Today 's photo is a scene where I am gathering people 's energy ! !
Mid - term exam,Mid - term exam
I do n't get the high points in this mid - term exam .,I did n't get the high points in this mid - term exam .
It makes me feel upset .,It makes me feel upset .
Because some of my classmates make a great progress in the exam and they catch up with me   and some of them even surpass me .,Because some of my classmates make great progress in the exam and they catch up with me and some of them even surpass me .
I under much pressure .,I am under a lot of pressure .
But I just keep telling myself that I should be optimistic and keep going maybe I can do better in the next exam.(can you provide me with some good sentences?thank you so much ),But I just keep telling myself that I should be optimistic and keep going . Maybe I can do better in the next exam . ( can you provide me with some good sentences ? Thank you so much )
Sleepiness deprives you of your concentration .,Sleepiness deprives you of your concentration .
"Whenever I write English despite I am sleepy , I find lots of trivial mistakes in my English writing later .","Whenever I write English , despite being sleepy , I find lots of trivial mistakes in my English writing later ."
Does the sentence I wrote above make sense ?,Does the sentence I wrote above make sense ?
I ca n't help but think of him although I decided not to chase him anymore .,I ca n't help but think of him although I decided not to chase him anymore .
"Well , I do n't chase him .","Well , I did n't chase him ."
I just can not help thinking of him .,I just can not help thinking of him .
I went to the airport today .,I went to the airport today .
I went to the airport to watch airplanes today .,I went to the airport to watch airplanes today .
I know what I really want to see is not airplanes but him .,I know what I really want to see is not airplanes but him .
"It is "" a substitution "" , huh ?","It is a "" substitution "" , huh ?"
"But it is true that I love airplanes , I enjoyed wandering around the airport .",But it is true that I love airplanes . I enjoyed wandering around the airport .
I used to work there ....,I used to work there ....
That airport means a lot to me ...,That airport means a lot to me ...
I could n't help callng my colleague to share what I was feeling at the arrival lobby ....,I could n't help calling my colleague to share what I was feeling in the arrivals lobby ....
We had a lot of memories there ...,We had a lot of fun there ...
"I called 3 girls , only one girl picked up the phone .","I called 3 girls , only one girl picked up the phone ."
"She was a little bit surprised at my calling , but was delighted .","She was a little bit surprised at my calling , but was delighted ."
I went to the obsevatory after that .,I went to the observatory after that .
I could n't help stareing at the airplanes taking off .,I could n't help staring at the airplanes taking off .
How beautiful they are ....,How beautiful they are ....
It 's my secret,It 's my secret .
I 'm gon na confess something .,I 'm gon na confess something .
I admit I am in love with him (; ;) sad ...,I admit I am in love with him (; ;) sad ...
We are close .,We are close .
I know he had crush on me before .,I know he had a crush on me before .
"Actually I had good feeling for him too , but I had beloved boyfriend at that time .","Actually , I had good feelings for him too , but I had a beloved boyfriend at that time ."
"Then , When I broke up with my ex , he has already girlfriend , then he got married last year .","Then , when I broke up with my ex , he had already got a girlfriend , then he got married last year ."
"And now I am seeing someone , I like him , care for my boyfriend .","And now I am seeing someone , I like him , care about my boyfriend ."
But somehow we are getting closer and closer .,But somehow we are getting closer and closer .
I really trust him and feel happy when we talk ...,I really trust him and feel happy when we talk ...
"To tell the truth , I got impression "" We are connected .","To tell the truth , I got the impression "" We are connected ."
"We are same kind person "" when I saw him for the first time .... 6 years ago ?","We are the same kind of person "" when I saw him for the first time .... 6 years ago ?"
Both he and I feel something each other .,Both he and I feel something for each other .
"But we do n't do anything , coz we are not kids but adults .","But we did n't do anything , because we are not kids but adults ."
We do n't screw our relationship .,We ca n't screw our relationship .
Timing is everything .,Timing is everything .
Does this sentense make sense ?,Does this sentence make sense ?
I just do n't wanna screw our relationship .,I just do n't wanna screw our relationship up .
I wanna keep and cherish it .,I wanna keep and cherish it .
Hopefully our friendship last long time .....,Hopefully our friendship lasts a long time .
She is the best singer !,She is the best singer !
"You should listen to "" Listen "" by Charice not Beyonce !","You should listen to "" Listen "" by Charice , not Beyonce !"
is better than Beyonce !,is better than Beyonce !
Cute smile and great incredible voice ! !,Cute smile and great incredible voice ! !
Go Charice---- ! !,Go Charice !
I 'm going to school every Saturday .,I go to school every Saturday .
However I think it 's not enough once a week for me .,"However , I think once a week is not enough for me ."
Because I 'm not good at English .,Because I 'm not good at English .
Therefore I 'd like to go to school of another one .,Therefore I 'd like to go to another one .
The class is from Monday to Thursday and 6:30pm-9:30pm .,The class is from Monday to Thursday and 6:30 pm -9:30 pm .
"I told with my host family about it and they told "" it 's OK "" .","I told my host family about it and they said "" it 's OK "" ."
So I will go to take the test next Monday .,So I will go to take the test next Monday .
This week will end tomorrow .,This week will end tomorrow .
I will do my best on tomorrow .,I will do my best tomorrow .
Star Wars,Star Wars
"I went to "" STAR WARS IN CONCERT "" in San Jose with my friends yesterday .","I went to "" STAR WARS IN CONCERT "" in San Jose with my friends yesterday ."
"Although I have never seen Star Wars , I had very fun !","Although I have never seen Star Wars , I had great fun !"
"There was a screen behind the orchestra , and the image of Star Wars was showed there .","There was a screen behind the orchestra , and the image of Star Wars was shown there ."
"And many children wore Star Wars 's costume , I thought they were very cute .",And many children wore Star Wars costumes . I thought they were very cute .
After that we went to Japanese supermarket and go eat dinner at beef barbecue restaurant .,"After that , we went to a Japanese supermarket and went to eat dinner at a beef barbecue restaurant ."
It was very good .,It was very good .
last week,last week
I did n't write Diary last week .,I did n't write a diary last week .
I was homesick feeling and also in a little bad condition last week .,I felt homesick and also in a little bad condition last week .
I had fun very much .,I had great fun .
"Because I have a plan meeting another Japanese friend this weekend , I am a enjoyment !","Because I have a plan to meet another Japanese friend this weekend , I am looking forward to the enjoyment !"
BIRTHDAY 　 PARTY ☆,BIRTHDAY PARTY ☆
"Yesterday , it was my hostfamiry 's child 's birthday party !","Yesterday , it was my host family 's child 's birthday party !"
I was first time american birthday party .,I was at a first time American birthday party .
It was very wonderful and I was very surprise !,It was really wonderful and I was very surprised !
"There were a big trampoline , a big birthday cake , many perple , many presents and Elmo came here !","There were a big trampoline , a big birthday cake , many people , many presents and Elmo came here !"
"Because , she likes Elmo very much !",Because she likes Elmo very much !
I seem she was very fun and happy !,I seems she was very fun and happy !
I was very fun .,It was great fun .
This weekend,This weekend
I went to San Francisco with who got to know with a thing such as Facebook yesterday .,I went to San Francisco with someone who got to know me through a thing such as Facebook yesterday .
"And , I thought that a waiter was cool and very friendly !","And , I thought that the waiter was cool and very friendly !"
"In addition , the dishes is very good .","In addition , the dishes are very good ."
After that we did shopping !,"After that , we did some shopping !"
I had lots of fun yesterday .,I had lots of fun yesterday .
"And , today I went to Piedmont Avenue .",And today I went to Piedmont Avenue .
There is near my host family 's house and many shop and cafe !,There are a lot of shops near my host family 's house and many shops and cafes !
"I bought a pierce , and I think that it is very nice !","I bought a piercing , and I think that it is very nice !"
I spent a happy weekend !,I had a happy weekend !
It is a long time,It is a long time
"I came to the United States from Japan , and two months and a half passed .","I came to the United States from Japan , and two months and a half passed ."
I used to here better more than before .,I got used to it here better than before .
"And , I made friends many Japanese and little another country perple .","And , I made friends with many Japanese and a little other countries people ."
I went to school(ESL class ) from 8/22 .,I went to school ( ESL class ) from 8/22 .
I stay home weekday but I go out every weekend .,I stay home weekdays but I go out every weekend .
And I am very happy now .,And I am very happy now .
I want to make friends more another country perple and I learm English .,I want to make friends with more another country people and I want to learn English .
three - day weekend,Three - day weekend
My last weekend is three - day weekend .,My last weekend is a three - day weekend .
I went to many places and I had lots of fun .,I went to many places and I had lots of fun .
He is very cool !,He is very cool !
But we were chatting all time .,But we were chatting all the time .
"Saturday , I went go to meet new friend who is Japanese .","Saturday , I went to meet a new friend who is Japanese ."
I rode CABLE CAR first time and went to Coit Tower .,I rode the CABLE CAR for the first time and went to Coit Tower .
He was very good guy .,He was a very good guy .
It was very wounderful .,It was really wonderful .
"There was blue sea , blue sky , green mountain and lots of nature .","There was blue sea , blue sky , green mountains and lots of nature ."
After that we went to Carmel and we bought bag in COACH .,"After that , we went to Carmel and we bought a bag from COACH ."
It were very good !,It was very good !
"But I bought bag yesterday , so I did n't buy anything .","But I bought a bag yesterday , so I did n't buy anything ."
I had lots of fun last weekend !,I had lots of fun last weekend !
"I am off on Sunday , so I was off today .","I am off on Sunday , so I was off today ."
I went out around my hostfamily 's house .,I went out around my hostfamily 's house .
"First , I went to surpermurket and I looked at the inside thoroughly .","First , I went to the supermarket and I looked at the inside thoroughly ."
"And , I went to buy product of hair care and snack .","And , I went to buy a hair care product and a snack ."
"Finaly , I went to starbucks coffee and drank coffee , ate a cookie and wrote letter for my boyfriend .","Finally , I went to Starbucks and drank coffee , ate a cookie and wrote a letter to my boyfriend ."
It was very hot and good day .,It was a very hot and good day .
I was fun on off .,It was fun on and off .
Party night ☆,Party night ☆
I went to the city with my friends last night because one of my friend left today .,I went to the city with my friends last night because one of my friends is leaving today .
It was kind of farewell party for ours .,It was a kind of farewell party for ourselves .
There is very crawd because all drink is only $ 2 ! !,It is very crowded because all drinks are only $ 2 ! !
And it was so much fun .,And it was so much fun .
I drunk too much and I got drunk though .,I drunk too much and I got drunk though .
"But it 's ok , because we had a really great time together .","But it 's OK , because we had a really great time together ."
"However , it is so sad for us that she left here .","However , it is so sad for us that she left here ."
I hope I see her soon .,I hope I see her soon .
school 2,school 2
I took the placement test last Tuesday .,I took the placement test last Tuesday .
And I took the Orientation today .,And I took the Orientation today .
I will go to school next Monday .,I will go to school next Monday .
I 'm looking foward to going school .,I 'm looking forward to going to school .
I 'd like to learn English and make many friends !,I 'd like to learn English and make many friends !
Finally I came back ! !,Finally I came back ! !
Hi all .,Hi all .
I have n't come here for a looooong time ...,I have n't been here for a looooong time ...
Because writing by English is really hard for me and kind of busy .,Because writing in English is really hard for me and kind of busy .
"Actually I was just lazy , hahaha .","Actually I was just lazy , hahaha ."
But I really wanna improve my English because I can stay US just half a year !,But I really wanna improve my English because I can stay in the US just half a year !
"That 's very short time , I do n't wanna leave but I ca n't do anything .","That 's very short time . I do n't wanna leave , but I ca n't do anything ."
"After going back Japan , I 'm sure I do n't have any chance to use English .","After going back to Japan , I 'm sure I wo n't have any chance to use English ."
"Because in Japan , most of people are Japanese .","Because in Japan , most people are Japanese ."
"I hope I can make friends from oversea , though .","I hope I can make friends overseas , though ."
Thank you for reading my diary .,Thank you for reading my diary .
Nice to meet you,Nice to meet you
"Here is very good place , sky is blue and wide , here is a lot of green and it is the climate that it is easy to spend here .","Here is a very good place , the sky is blue and wide , there is a lot of green and it is the climate that means it is easy to spend time here ."
"But , I 'm not good at English .","But , I 'm not good at English ."
I want to speak English !,I want to speak English !
my holiday,My holiday
"Today is Saturday , and it is holiday in Japan .","Today is Saturday , and it is a holiday in Japan ."
I had slept until 12:00pm .,I slept until 12:00 pm .
I regretted and then I decided to make the day more effective .,I regretted it and then I decided to make the day more effective .
I woke and cook a lunch .,I woke up and cooked lunch .
Today 's lunch was Chinese fried rice .,Today 's lunch was Chinese fried rice .
"After Eating lunch , I prepared myself to go outdoor .","After eating lunch , I prepared myself to go outdoors ."
I went playing soccer .,I went playing soccer .
I like that very much ! ! !,I like that very much ! ! !
Today became good concerning the result !,Today is good concerning the result !
"Thank you for reading , I 'm glad for your correcting !",Thank you for reading . I 'm glad about your correction !
I like watching movies very much .,I like watching movies very much .
"I have much free time recently , so I makes it a custom to watch a movie in the morning .","I have had a lot of free time recently , so I have made it a custom to watch a movie in the morning ."
I spend afternoon times studying English and Accounting .,I spend my afternoon studying English and Accounting .
"Today , I'm writing about movie .","Today , I 'm writing about a movie ."
I 've watched many movies .,I 've watched many movies .
My favorite movie is ‘ buffolo66’directed by Vincent Gallo .,My favorite movie is ‘ Buffolo 66 ’ directed by Vincent Gallo .
I 'm seeking a interesting movie every day .,I seek an interesting movie every day .
I heard good reputation of director Clint Eastwood from some my friends a few days ago .,I heard the good reputation of director Clint Eastwood from some of my friends a few days ago .
I had never watched movies of Clint Eastwood .,I had never watched Clint Eastwood 's movies .
Both movies were very interesting .,Both movies were very interesting .
I 'm surprised that ‘ Changeling’is based on true story .,I 'm surprised that ‘ Changeling’is based on a true story .
I 'm going to watch ‘ memento’tomorrow .,I 'm going to watch ‘ Memento’tomorrow .
I 'm very starving now .,I 'm really starving now .
"So , I'm having dinner .","So , I 'm having dinner ."
See you .,See you .
How do you do ?,How are you ?
My name is Jonny392 .,My name is Jonny 392 .
I want to be able to use English very frequently .,I want to be able to use English very frequently .
"So , I have entered Lang-8 .","So , I have entered Lang-8 ."
I 'm going to write a diary from now on .,I 'm going to write a diary from now on .
I would be happy to correction .,I would be happy to make corrections .
"Well , goodbye .","Well , goodbye ."
A Happy New Year .,A Happy New Year .
"Hi , long time no see .","Hi , long time no see ."
It had become 2011 .,It had become 2011 .
There were a lot of happening   last year .,There were a lot of things happening last year .
I 'm going to graduade from university and enter a company .,I 'm going to graduate from university and enter a company .
There seems to be difficult things .,There seem to be difficult things .
"So , I will work as hard as I can .","So , I will work as hard as I can ."
"I 'm forced to use English in the company , so I need to study harder .","I 'm forced to use English in the company , so I need to study harder ."
Thank you for reading this sentence .,Thank you for reading this sentence .
I 'm glad if you would correct this .,I would be glad if you would correct this .
See you again .,See you again .
My speech,My speech
I like leading books .,I like reading books .
And my favorite books is “ The little prince ”,And my favorite book is “ The little prince ”
"And I have reading it several time for my study English , that It is written by English .","And I have read it several times for my English studies , because it is written in English ."
As you know “ The little prince ” story .,"As you know , it is “ The Little Prince ” story ."
The little prince lives in small planet there are small two volcanoes and a rose .,The little prince lives on a small planet where there are two small volcanoes and a rose .
"The rose is so beautiful , therefore he takes care of the rose .","The rose is so beautiful , therefore he takes care of the rose ."
Water for a rose and protect from cold whether .,Water for a rose and protect it from cold weather .
But she is so selfish .,But she is so selfish .
And prince decided go away from a rose .,And the prince decided go away from the rose .
And I check it on the internet .,And I check it on the Internet .
And I have got it .,And I have got it .
The rose is a woman .,The rose is a woman .
Most of people did not know well about her .,Most people did not know much about her .
He and his family is Aristocrat .,He and his family are aristocrats .
But she is n’t .,But she was n't .
His family has been disregarded for long time .,His family has been disregarded for a long time .
"In   2000yers , The 100th birth anniversary for him .","In 2000 , the 100th birth anniversary of his ."
He died by plan accident .,He died in a plane accident .
So he was so love to her .,So he was so loving to her .
Therefore the rose is his wife .,"Therefore , the rose is his wife ."
Yesterday I set flowers on base,"Yesterday , I set flowers on a table ."
Peony - root and Clapper - lily and other one ( I forgot the name ),Peony - root and Clapper - lily and another one ( I forgot the name ) .
We have some words in Japan .,We have some words in Japan .
One of them “ stand up is peony - root and sit down is peony and walking   Appearance is lily ” for woman,One of them is “ stand up is peony - root and sit down is peony and walking appearance is lily ” for woman .
I like peony - root better than peony but people say peony   does   KING of flower,I like peony - root better than peony but people say peony is the KING of flowers .
Fireworks festival,Fireworks festival
on 25th july   there was festival in osaka .,On 25th July there was a festival in Osaka .
it was famous for fireworks .,it was famous for fireworks .
so my friend and i went to see it .,So my friend and I went to see it .
but it was difficult seeing some fireworks thatwhy some building was interrupted for us .,but it was difficult seeing some fireworks because some building was interrupted for us .
so we went around to get good position .,So we went around to get a good position .
we could see some good fireworks .,we could see some good fireworks .
and there were many Foreigner came and saw them .,and there were many foreigners who came and saw them .
i talked to a foreigner who is from TAIWAN .,I talked to a foreigner who is from TAIWAN .
and got freindship .,and got friendship .
then we will be meet ather festival .,Then we will meet at another festival .
it was good nice to meet .,It was good nice to meet you .
here in japan,here in japan
its good day have a BBQ,It 's a good day to have a BBQ .
i want to make plan to have a BBQ with my friends,I want to make a plan to have a BBQ with my friends .
i can rent a place as a free .,I can rent a place for free .
at near my house,near my house
it convenience to get there,it 's convenient to get there
i love eat some food at out,I love eating some food out .
I have been to LA in US on this New year .,I have been to LA in the US this New year .
after   one hour I had a flat tire .,"After one hour , I had a flat tire ."
and I need change my car .,and I need to change my car .
"I called to rent - car office then officer said "" You should return here and you can change other car .","I called the rent - a - car office , then an officer said , "" You should return here and you can get another car ."
"Where are you . ""   thatwhy .",Where are you ? That is why .
I could not change flat tire to spear tire .,I could not change from flat tire to spare tire .
He suppose to send my place somebody .,He was supposed to send somebody in my place .
I did not know where am I ....,I did not know where I was ....
I asked neighbor who was walking near .,I asked a neighbor who was walking near .
And I could chaged spear tire by Road Server and returen to shop .,And I could change a spare tire by Road Server and return to the shop .
I could chang other car .,I could change car .
"and I thought , I need navigation System on the car .","and I thought , I need a navigation system in the car ."
It is important for me .,It is important for me .
finally   I could meet my friend .,finally I could meet my friend .
The little prince,The little prince
I have been reading a book .,I have been reading a book .
which is The little prince for twice time .,which is The Little Prince for the second time .
"I had not read it before ,",I had not read it before .
after read it .,after reading it .
I was sad feeling .,I was feeling sad .
"then   I got most impression text is "" The most important thing is you can not see it "" ( may be it correct text )","Then I got the most impression the text is "" The most important thing is you can not see it "" ( Maybe it is the correct text )"
it might song by Chicago,it might be a song by Chicago
i become like baseball game,I like baseball games .
I did n’t like baseball until we were watching it,I did n’t like baseball until we were watching it .
It was really fun .,It was really fun .
all player has each song   one of player had a homeback hit .,Each player has one song and every player had a homeback hit .
Beauty and beat,Beauty and beat
I read a novel .,I read a novel .
It is famous for everyone in the world,It is famous for everyone in the world .
Most   of people know it,Most people know it .
Then I have examined it on the internet,Then I have examined it on the internet .
I have got some information,I have got some information .
One of it said the story makes from Greece - myth .,One of them said the story comes from Greece - myth .
“ Eros and Psyche ”,“ Eros and Psyche ”
The story has maxim .,The story has a maxim .
You should believe your feeling instead of you are seeing,You should believe your feelings instead of what you see
Hula festival in osaka,Hula festival in Osaka
I did not know about The Hula festival .,I did not know about the Hula festival .
My colleagues and i went to have a dinner at a restaurants before a day for meeting,My colleagues and I went to have dinner at a restaurant before a day for meeting
there were many HAWAIAN in a restaurants .,There were many HAWAIAN restaurants .
As you know HAWAIAN is cheerfuly .,"As you know , HAWAIAN is cheerful ."
"I said "" hi "" a man said to me "" hi ""","I said "" hi "" . A man said to me "" hi "" ."
"and i said "" Can i talk to you ? ""   he was answerd kindly   "" Yes ! ! "" and I ask someting about him and he explained about why we come to OSAKA and then I could knouw about "" Hula festival ""","and I said "" Can I talk to you ? "" he answered kindly "" Yes ! ! "" and I asked him something about me and he explained about why we came to OSAKA and then I could learn about the Hula festival ."
I keep try if i have chance to talk to other country peaple .,I always try if I have the chance to talk to other countries ' people .
My trip to TOKYO,My trip to TOKYO
I have been to TOKYO,I have been to TOKYO
I sometimes visit to there .,I sometimes visit them .
and almost same schedule .,and almost the same schedule .
One of my freind recommend to me but I little 　 regret .,One of my friends recommended it to me but I little regret it .
It is good .,It is good .
And when I was buck to my home town in Osaka .,"And when I was back to my home town in Osaka ,"
A girl seem to be in problem .,A girl seemed to be in a problem .
I asked .,I asked .
My I help you ?,May I help you ?
She is from Austlalia .,She is from Australia .
"therefore I was trying to speak with her , when we took the same train .","Therefore I was trying to speak with her , when we took the same train ."
when i was over sea to travel .,when I travelled over seas .
Sometimes I have got to help from local people .,Sometimes I have got help from local people .
I am so thanks to helping people .,I am so thankful to helping people .
That why .,That is why .
I want to help for people who seems to be in problem .,I want to help people who seem to be in a problem .
i had a chance to speak english,I had a chance to speak English .
Ｉ had a chance to talk with costumer who is Korean,I had a chance to talk with a customer who is Korean .
"He can speak English , then , I was tried ask to “ would you like to have a coffee or tea","He can speak English , then , I tried to ask “ would you like to have a coffee or tea ? ”"
"But , sitting on the next parson who is Japanese business men interpreted my English to English","But , sitting on the next parson , who is a Japanese businessman , interpreted my English to English ."
I ’m a disappointing .,I ’m very disappointed .
I need to practice and practice 　 my speaking English .,I need to practise and practise my speaking English .
A meal    for elder peaple,A meal for elderly people
Some of Neighbors and i prepare for the lunch for elder people who lived   with alone as volunteer .,Some of my neighbors and I prepare lunch for elderly people who live alone as volunteers .
There were about 80 peoples .,There were about 80 people .
"all of them seem happy , and we were happy too .","All of them seemed happy , and we were happy too ."
"But I was shock because , Many elder people have been liveing with alone .",But I was shocked because many elderly people have been living alone .
That sounds like social issues in my neighborhood .,That sounds like social issues in my neighborhood .
festival in neighborhood,festival in the neighborhood
We had made festival by ourself at elementary school .,We had made a festival by ourselves at elementary school .
There were so many shops and gameplace .,There were so many shops and games .
It was so hard work .,It was so hard work .
I was tired .,I was tired .
But Many children seem happy .,But many children seem happy .
I could have a good time .,I could have a good time .
Really bad english teacher,Really bad English teacher
I am 19 years old .,I am 19 years old .
I began to learn english when I was about 16 years old .,I began to learn English when I was about 16 years old .
I had for about four years english now .,I have been studying English for about four years now .
For four weeks I was in the UK to learn english .,For four weeks I was in the UK learning English .
I was in cambridge and learned a lot !,I was in Cambridge and learned a lot !
The school I was there was the studio school .,The school I was at was the studio school .
"But since last year , i have a really bad english teacher ...","But since last year , I have had a really bad English teacher ..."
In my opinion my engilsh skills went some steps back since I have this teacher .,"In my opinion , my English skills have gone some steps back since I have had this teacher ."
So i began to learn japanese - by myself .,So I began to learn Japanese - by myself .
I learned more japanese then english last year .,I learned more Japanese then English last year .
But just the meanings and how to write .,But just the meanings and how to write .
I think its easier to learn step by step .,I think it 's easier to learn step by step .
"So I learn the vocabulary , grammatic and the meanings of the kanji .","So I learn the vocabulary , grammar and the meanings of the kanji ."
Also I listen to JapanesePod101 .,Also I listen to JapanesePod 101 .
It 's very helpful because i do n't have a japanese teacher .,It 's very helpful because I do n't have a Japanese teacher .
The pronouncing is very difficult to learn without anyone who can speak japanese .,The pronunciation is very difficult to learn without anyone who can speak Japanese .
"While I am learning japanese , I do n't want to forgot english , so I write here to improve english .","While I am learning Japanese , I do n't want to forget English , so I write here to improve my English ."
My english teacher ca n't really help me ...,My English teacher ca n't really help me ...
"I am affraid , that I am not good enough to write in Japanese .",I am afraid that I am not good enough at writing in Japanese .
"You see , I write all in Kana , because I did n't learned a lot kanji .","You see , I write everything in Kana , because I did n't learn a lot of kanji ."
I hope I will learn a lot japanese !,I hope I will learn a lot of Japanese !
I hope I will improve both languages .,I hope I will improve both languages .
Good bye !,Good bye !
To sleep class ... lol,To sleep class ... lol
"Today , I went to school to take a lesson that is first class since summer vacation finished .","Today , I went to school to take a lesson which is the first class since the summer vacation finished ."
I see lot of my   friends ！,I saw a lot of my friends !
I love my friends !,I love my friends !
"So , I am happy now .","So , I am happy now ."
"But , in class , I slept ....","But , in class , I slept ...."
Because teacher 's lesson was very very boring .....,Because the teacher 's lesson was very very boring .....
Happy VDay ! ! !,Happy VDay ! ! !
"Happy Valentine 's Day , everyone ! ! !","Happy Valentine 's Day , everyone ! ! !"
Two hours have already passed since the end of the Valentine 's Day in Japan now .,Two hours have already passed since the end of Valentine 's Day in Japan now .
"Anyway , our study group were awarded the for the research in the class ! ! ! ! !","Anyway , our study group was awarded for the research in the class ! ! ! ! !"
"The research is about "" Fourier transform and Digitral image processing "" !","The research is about the "" Fourier transform and Digital image processing "" !"
Sleep tight !,Sleep tight !
And see you in my next jounal ! :),And see you in my next journal ! :)
It 's a long special - effect TV series aiming at kids .,It 's a long special - effect TV series aimed at kids .
"In recent series , there have been some deep stories .","In recent series , there have been some deep stories ."
They kill each other to gain a power and claim which grant any wish .,They kill each other to gain power and claim which grant any wish .
"Some fight to revive his sister , some fight to cure his incurable desease .","Some fight to revive his sister , some fight to cure his incurable disease ."
They need 2 USB flash drives to transform .,They need 2 USB flash drives to transform .
There are many drives .,There are many drives .
Each drives has a characteristic ability .,Each drive has a characteristic ability .
"For instance,""Cyclone Memory "" which storengthen its speed , "" Metal Memory "" hardens its body , etc .","For instance , Cyclone Memory "" which strengthens its speed , "" Metal Memory "" which hardens its body , etc ."
And they fight with having a good command of 2 of them .,And they fight with having a good command of 2 of them .
